	Location		Label
	115018		NuVpPixelHeight
	115040		NuVpGetCurrentViewport
	115050		NuGobjDestroy
	115198		NuGobjCalcFaceOnDims
	115528		NuGobjCalcDims
	115828		NuPrimCalcPlanes
	00115be0		NuCreateStarfield
	00115e18		NuGobjInit
	00115e50		NuGobjClose
	00115e98		NuGobjCreate
	00115ef8		NuGobjAddGeom
	00115f30		NuGobjAddFaceOnGeom
	00115f68		NuGobjCalcPlanes
	00115fa0		NuGobjApplyCrossFade
	116010		NuGeomCreate
	116068		NuGeomDestroy
	116160		NuFaceOnGeomCreate
	001161a8		NuFaceOnGeomDestroy
	001161f8		NuGeomCalcPlanes
	116248		NuGeomAddPrim
	116280		NuGeomAddSkin
	001162b8		NuPrimCreate
	116370		NuPrimDestroy
	001163d8		NuVtxStride
	116408		NuPrimStride
	116460		NuNodeDestroyChildren
	001165a8		NuNodeGraphInit
	116770		NuMtxEqual
	001168f0		NuNodeCreate
	116968		NuNodeDestroy
	00116a58		NuNodeSetName
	00116b00		NuNodeDestroyHierarchy
	00116c38		NuNodePreAddChild
	00116cb8		NuNodeAddChild
	00116d60		NuNodeRemoveChild
	00116dd0		NuNodeNumChildren
	00116dd8		NuNodeFindByName
	00116e58		NuNodeFindByID
	00116ec8		NuNodeIterator
	00116f68		NuNodeDestroyHierarchyData
	00116fc8		NuNodeNumBranchNodesOfType
	117030		NuNodeNumSubNodes
	117088		NuNodeUpdateXfms
	001172a8		NuMeshNodeCreate
	117338		NuMeshNodeDestroy
	117360		NuTransformNodeCreate
	117468		NuTransformNodeDestroy
	117490		NuJointNodeCreate
	001175c0		NuJointNodeDestroy
	001175e8		NuSkinNodeCreate
	001176b0		NuSkinNodeDestroy
	117720		NuSplineNodeCreate
	001177e8		NuSplineNodeDestroy
	117850		NuNodeStrCpy
	001178d8		NuNodeStrToUpper
	117950		NuNodeStrCat
	001179c8		NuNodeKeepNames
	001179d0		resolveReferenceNodes
	00117a98		NuNodeResolveReferenceNodes
	00117b58		NuMeshNodeSetGeometry
	00117b60		resolveSkinNodes
	00117c98		NuNodeResolveSkinNodes
	00117dc8		ReadNuIFFTextureSet
	118030		ReadNuIFFGSplineSet
	118210		ReadNuIFFGeom
	118488		ReadNuIFFGeomSkin
	118630		ReadNuIFFBlendShape
	001187b0		NuNodeRead
	00118b58		ReadNuIFFScene
	119048		ReadNuIFFSpecialObjects
	001191f0		ReadNuIFFGScene
	119850		NuSceneLoad
	001199c0		NuGSceneDestroy
	00119be0		NuSceneDestroy
	00119d88		NuSceneFindNodeByName
	00119e40		ReadNuIFFMaterialSet
	00119f20		ReadNuIFFUnknown
	00119f78		NuSceneMtlUpdate
	0011a048		ReadNuIFFNameTable
	0011a0c0		ReadNuIFFGobjSet
	0011a1a0		ReadNuIFFInstSet
